Correct	Eps	Cds	T
1	0.517712114279349	1	14.0986819267273
1	0.489217531568811	0	14.1683850288391
1	0.520710315406143	1	14.1921689510345
1	0.52064703400058	1	13.7097039222717
1	0.522361883289779	1	13.410845041275
1	0.469657672338867	0	13.9095780849457
1	0.492004615409022	0	13.5899159908295
1	0.534135970251459	1	13.3441231250763
1	0.472957528934155	0	14.2661390304565
0	0.463715751877659	0	14.394837141037
1	0.515731573199937	1	14.0236170291901
1	0.487899933036339	0	13.2162160873413
1	0.496586361562382	0	12.7257039546967
0	0.479758348440462	0	12.9766960144043
1	0.497812338222945	0	12.6942598819733
1	0.492933478092781	0	12.7696490287781
1	0.483213938996337	0	14.0860149860382
1	0.511826562406083	1	13.4434368610382
0	0.497018713706647	0	13.2737100124359
1	0.50474947312413	1	12.8364429473877
0	0.476970464570456	0	12.8567709922791
1	0.503741569194059	1	13.7479050159454
0	0.486107911555039	0	13.5469930171967
1	0.491496403370678	0	14.1592500209808
0	0.53243056415125	1	13.9237158298492
1	0.534086275686522	1	14.7139060497284
1	0.501691581762411	1	14.4514119625092
1	0.481685904711306	0	12.9028968811035
1	0.503973152397846	1	12.8128437995911
1	0.481438825211014	0	13.1839179992676
0	0.516705755162443	1	15.4876911640167
1	0.523070724119239	1	14.0006268024445
1	0.52494124805342	1	14.0279190540314
1	0.52628048656103	1	14.3443820476532
0	0.490028926877376	0	13.40669298172
0	0.533358702020239	1	12.9573309421539
1	0.522385819005333	1	12.9190330505371
1	0.516712883575269	1	12.9421908855438
1	0.483848484216239	0	12.7969191074371
1	0.52150592458379	1	12.9441609382629
1	0.511359774825434	1	12.934093952179
1	0.516166112147062	1	12.9411220550537
1	0.507053297681799	1	13.0765819549561
0	0.501984262177974	1	13.0392739772797
1	0.516003432971258	1	13.1083419322968
1	0.484844393070268	0	12.9131171703339
1	0.521296916971843	1	12.9004938602448
1	0.510565479599662	1	12.8748230934143
0	0.502338113262419	1	12.9446280002594
0	0.543138382670165	1	12.9113810062408
1	0.473324259509971	0	12.9936668872833
1	0.480580197845361	0	12.9217371940613
1	0.514515155868887	1	12.9287250041962
0	0.488803669627261	0	13.1933000087738
1	0.494669896075011	0	13.0900790691376
1	0.475064000433189	0	12.9289388656616
1	0.532859068319351	1	12.7954590320587
1	0.470075281025108	0	12.7193219661713
0	0.538645652259402	1	12.9467511177063
1	0.473356991783967	0	12.8258709907532
0	0.532586634483321	1	12.8804910182953
1	0.472095713948922	0	12.8846621513367
1	0.458718300309432	0	12.7624762058258
0	0.502183413279125	1	13.1732881069183
0	0.499808242446443	0	12.9484231472015
1	0.497940770877004	0	12.9111430644989
0	0.486652453997618	0	12.848886013031
1	0.462220166437412	0	12.8746511936188
1	0.491909859992076	0	12.9222280979156
1	0.471447741268412	0	12.9179179668427
0	0.499246347751986	0	12.8486020565033
1	0.472955291989382	0	12.87628698349
0	0.485878733556892	0	12.810446023941
1	0.522592443570036	1	12.8943831920624
1	0.485876941687257	0	12.7145700454712
1	0.50360025692443	1	12.8973228931427
1	0.504736273394281	1	13.0008120536804
1	0.469573595974373	0	12.752721786499
1	0.492176928268995	0	12.9233138561249
1	0.484274369090302	0	12.8067028522491
0	0.449432349073369	0	12.8648791313171
1	0.536440847184683	1	13.0047409534454
1	0.501515306657343	1	12.9218690395355
0	0.467539527872634	0	12.9132578372955
1	0.465156873736877	0	13.6075549125671
0	0.470779082624679	0	13.3084869384766
1	0.488699950046629	0	13.2507860660553
1	0.512608576880985	1	13.1458570957184
1	0.500753464514155	1	12.9761838912964
1	0.517254685838399	1	13.3332920074463
1	0.526672179495627	1	13.7648730278015
1	0.480686168888373	0	13.7444880008698
0	0.476883418923913	0	12.8939321041107
1	0.47807665315688	0	13.3174800872803
1	0.512107250797279	1	12.8171489238739
1	0.517315163056434	1	14.4060080051422
1	0.491702424959874	0	13.9446840286255
1	0.515083988375159	1	13.3937230110168
0	0.485967858876051	0	12.9408619403839
0	0.47613755958274	0	12.8545849323273
