Correct	Eps	Cds	T
1	0.63407177374878	1	1.57510614395142
1	0.180679686239943	0	1.50968384742737
1	0.785040542642667	1	1.50832319259644
1	0.634492186380295	1	1.52448797225952
1	0.724868694055124	1	1.50719213485718
1	0.445102465326748	0	1.51481699943542
0	0.556791204055459	1	1.5235641002655
1	0.712258544121553	1	1.52298903465271
0	0.501980343509966	1	1.5221221446991
0	0.46192504407784	0	1.52956008911133
1	0.656941564622846	1	1.55323910713196
1	0.251992332710267	0	1.54024505615234
0	0.50839584580442	1	1.53895902633667
1	0.539122217197118	1	1.5484471321106
1	0.347020841820913	0	1.54632210731506
1	0.257101622940999	0	1.55341196060181
1	0.392988180234772	0	1.54523086547852
1	0.572357403796652	1	1.5477569103241
1	0.529573164803573	1	1.55272507667542
1	0.70022175017411	1	1.57996392250061
0	0.462533530637548	0	1.58932518959045
1	0.572047276888111	1	1.57869005203247
1	0.586372179425782	1	1.59314703941345
1	0.362675462132912	0	1.59857392311096
0	0.525881954432012	1	1.62951302528381
1	0.605863547820982	1	1.76795196533203
1	0.609622003251748	1	1.64332795143127
1	0.470721215377111	0	1.61838293075562
1	0.502817229027098	1	1.57394289970398
1	0.37620941644312	0	1.58254909515381
1	0.44212152553749	0	1.61149120330811
0	0.482022729337897	0	1.62185597419739
1	0.727219266613602	1	1.60330295562744
1	0.68351322795111	1	1.58708596229553
0	0.435221103126326	0	1.59540295600891
0	0.523082751310673	1	1.61497807502747
1	0.700411483147191	1	1.63924908638
1	0.764364103837253	1	1.56760501861572
1	0.321977560779125	0	1.62334895133972
1	0.63150324929473	1	1.61749005317688
0	0.48286518085884	0	1.60838603973389
1	0.645305210546495	1	1.61556100845337
1	0.551946157688263	1	1.61182498931885
0	0.616665385079672	1	1.58333206176758
1	0.505267323566909	1	1.60888981819153
1	0.34444241545863	0	1.62263798713684
1	0.662925297904506	1	1.61441779136658
1	0.547466380488249	1	1.61599707603455
1	0.438760878320679	0	1.58364009857178
1	0.496491874316858	0	1.62371921539307
1	0.30774917595336	0	1.60944604873657
1	0.319890441453542	0	1.5823860168457
1	0.639299285022265	1	1.59152698516846
1	0.517630116932675	1	1.64791202545166
0	0.561602065259742	1	1.66293907165527
1	0.392147570429724	0	1.65220499038696
1	0.610963662617654	1	1.62163496017456
1	0.394465316289719	0	1.6781849861145
1	0.486419232004371	0	1.68267107009888
1	0.235500415770234	0	1.61477184295654
1	0.464856163941523	0	1.59524512290955
1	0.296901541497324	0	1.56487894058228
1	0.344469255257197	0	1.5937020778656
1	0.46506330017091	0	1.68074011802673
0	0.410578254419174	0	1.63700103759766
1	0.45669469802629	0	1.66329503059387
1	0.556961914705999	1	1.65012502670288
1	0.308863707762439	0	1.644287109375
0	0.502185302285672	1	1.62923192977905
1	0.288882766675435	0	1.62037110328674
1	0.559176420632689	1	1.61507892608643
1	0.476278968421902	0	1.61298203468323
0	0.483878741828005	0	1.61368203163147
1	0.679526573411725	1	1.61038184165955
1	0.418389563248776	0	1.55878210067749
1	0.673371511356958	1	1.60465407371521
1	0.575696514584738	1	1.61586213111877
1	0.265284684487681	0	1.60816311836243
1	0.370828647658602	0	1.61002111434937
1	0.29673202430788	0	1.57068586349487
0	0.460765690756874	0	1.61030507087708
1	0.712301137354064	1	1.61686706542969
1	0.518891279683279	1	1.61319088935852
1	0.526212152057024	1	1.61703705787659
1	0.254363090468967	0	1.5903480052948
0	0.413441637240795	0	1.5841269493103
1	0.21095638459056	0	1.6177339553833
0	0.480319124143087	0	1.64277291297913
0	0.44951114929179	0	1.6272599697113
1	0.535301079679776	1	1.64131593704224
1	0.710139414201131	1	1.65104413032532
1	0.238068054143345	0	1.63912200927734
1	0.564830937180827	1	1.62023401260376
1	0.2599246430201	0	1.61924195289612
1	0.698436864621614	1	1.61046695709229
1	0.596549410758708	1	1.57750082015991
1	0.366371826236534	0	1.56321406364441
1	0.662036494426626	1	1.59468102455139
1	0.596936766330957	1	1.629310131073
1	0.557155375098981	1	1.61718797683716
