Correct	Eps	Cds	T
1	0.382120975835121	0	5.10025715827942
1	0.499899113994552	0	4.98194289207458
1	0.602355542327597	1	4.76997303962708
1	0.437347026002192	0	4.87193584442139
1	0.511238230695561	1	5.0883150100708
1	0.30225384451471	0	4.96708703041077
1	0.491399949676528	0	4.75102305412292
0	0.521066879099099	1	5.05788803100586
1	0.300238436432618	0	5.12419080734253
0	0.506575331464755	1	4.64986205101013
1	0.502692239835121	1	5.03391098976135
1	0.507375236010611	1	4.92795300483704
1	0.12441792238215	0	5.160236120224
1	0.472163469005722	0	5.16937494277954
1	0.484530650787274	0	5.10945701599121
0	0.499582257090168	0	5.02386403083801
1	0.806632556852892	1	4.90820097923279
0	0.483859740291703	0	4.91667413711548
1	0.590525804103707	1	4.93179416656494
1	0.767264271814401	1	4.90944814682007
1	0.462640266074082	0	4.90651893615723
1	0.697796470223276	1	4.91731905937195
1	0.528664773838548	1	4.84901213645935
1	0.491381784500868	0	4.73052215576172
1	0.807490636410921	1	4.83503103256226
1	0.478294539254928	0	4.64372801780701
1	0.206453492872228	0	4.88288283348083
1	0.408554186159997	0	4.89488410949707
1	0.506897271407465	1	4.90313696861267
1	0.183633409616351	0	4.92421579360962
0	0.493217954756977	0	4.68021678924561
1	0.478478189045772	0	4.92651200294495
1	0.81858098657386	1	4.90326905250549
0	0.524291371806664	1	4.73088192939758
1	0.503277749322229	1	4.95435690879822
1	0.372805111942328	0	4.96484279632568
1	0.336775744585332	0	4.81669402122498
1	0.241955149721976	0	4.91296696662903
0	0.501597457750652	1	4.84371614456177
1	0.504156992626458	1	4.80140113830566
0	0.518577251275078	1	5.39582586288452
0	0.492998225187984	0	5.2195348739624
0	0.498167971655244	0	4.63432002067566
1	0.227177991919034	0	4.95680117607117
1	0.514222604641364	1	4.89106416702271
1	0.530697282706271	1	4.98416900634766
1	0.449251746180207	0	4.91183805465698
1	0.315930725796924	0	4.93684816360474
0	0.497052189860622	0	4.77470397949219
1	0.520878056764025	1	4.91993308067322
1	0.558170751490663	1	4.86757493019104
1	0.499145566221662	0	4.85952186584473
1	0.332221756306349	0	4.83266091346741
1	0.247247640573145	0	4.88073301315308
1	0.298916455745075	0	4.90090298652649
1	0.469456957319375	0	4.93559098243713
1	0.557398389968035	1	5.12751817703247
1	0.664359476396969	1	5.20753693580627
0	0.496712813185959	0	4.71807312965393
1	0.247373506756907	0	4.89428305625916
0	0.500094806502042	1	4.83543109893799
1	0.753147728738725	1	4.98947787284851
1	0.766111636508688	1	4.90796399116516
0	0.500667685493447	1	4.8309371471405
1	0.571719652521728	1	4.95950198173523
1	0.49681217704063	0	5.05601596832275
1	0.742577938067099	1	5.43696188926697
1	0.467121435699163	0	4.78544497489929
1	0.294749205898752	0	4.90829181671143
1	0.493346365281009	0	4.6733660697937
1	0.528133083917388	1	4.85621500015259
1	0.427994840812706	0	4.80579280853271
1	0.537402480296015	1	4.87565803527832
1	0.742876148559939	1	4.93188309669495
0	0.47816312365175	0	4.93585419654846
1	0.516761784984861	1	4.86996102333069
0	0.511803627971849	1	4.78236389160156
0	0.473827755095018	0	4.49079394340515
1	0.297719329451586	0	4.90872502326965
1	0.799271888782111	1	4.94718313217163
0	0.490461822150583	0	4.69847893714905
1	0.255928695347644	0	4.89014315605164
1	0.491319170496513	0	4.96251511573792
0	0.49130181443492	0	4.57758498191833
1	0.522136434588559	1	6.02630400657654
1	0.576368275656044	1	4.81682896614075
1	0.423951863649201	0	4.96140599250793
0	0.501228226027217	1	4.91211199760437
1	0.488539300099811	0	5.0064389705658
1	0.506319634247902	1	5.15429401397705
1	0.520306267920113	1	4.93019485473633
0	0.504475809620747	1	4.62009596824646
1	0.261167631893852	0	4.83962202072144
0	0.487587831413122	0	4.77450203895569
0	0.496730715767637	0	4.59025001525879
1	0.772516784542265	1	4.84912300109863
1	0.502240029872254	1	4.76080918312073
1	0.539478627275545	1	4.84078979492188
1	0.309636206606942	0	4.99042701721191
1	0.505109344709226	1	4.62354421615601
